#Table1
ra,dec,z
181.06967,2.0023404,0.01797617
204.31345,2.4296515,0.01799437
181.6641,1.2842449,0.01802161
174.76387,-0.2060205,0.01805773
245.43064,-0.2033819,0.01808657
201.27236,-0.90310404,0.01808668
154.65706,-0.42187841,0.01811487
196.91121,-0.942444,0.01811678
160.57676,-0.38026442,0.01813376
197.38287,0.85703718,0.01814389
197.13122,-0.84438555,0.01815001
170.94194,-1.0998331,0.01817244
196.95928,-0.86843045,0.01819028
139.79329,1.055477,0.0182452
197.09199,-0.96030623,0.01825436
196.93436,-0.57373798,0.01826324
197.51944,0.94879773,0.01827526
175.68714,0.28223908,0.01829432
179.18254,-1.3619221,0.0182975
182.47994,2.0685868,0.01830265
163.33532,-0.60517934,0.01830944
201.91883,0.68798225,0.01833905
196.91499,-0.94120963,0.01834199
196.95785,-0.86842685,0.01834389
197.88714,1.525405,0.0183491
197.58074,2.0259656,0.01836887
197.20866,1.0022575,0.01837594
180.45625,2.4214628,0.01839226
179.38268,-1.252861,0.01841198
140.13109,0.93703857,0.01841324
180.34543,1.9257389,0.01842017
200.34618,0.3424101,0.01842461
161.74283,-0.69167193,0.01844927
197.33227,0.88371708,0.01846604
163.02827,-0.56081157,0.01846641
175.72472,0.16186048,0.01847006
182.17819,1.4563369,0.01847933
135.43833,0.52187037,0.01849118
175.2567,1.4933511,0.01849269
163.33649,-0.60638107,0.01849591
180.98977,1.9609039,0.01850213
176.6795,-0.67836515,0.01850538
197.98248,-0.83647235,0.01850981
120.06232,0.98756564,0.01852783
175.78875,0.55884769,0.01857833
166.45833,0.40310003,0.01858409
141.5959,-0.71758527,0.01860346
162.96941,0.55409033,0.01861006
181.3647,1.9481347,0.01862302
181.32843,1.6376291,0.01863603
136.40775,0.003287359,0.01863889
159.85536,-0.084798816,0.01864479
136.73103,-0.031305483,0.01864563
196.77353,-1.1768512,0.01865457
197.90608,0.66584445,0.018674
181.14179,1.8016228,0.01868214
197.1845,-0.76682978,0.01868426
159.65878,-0.34498246,0.01869544
159.83522,-0.20025624,0.01870119
171.46706,-0.66159134,0.01871294
177.40144,-1.4554916,0.01872137
197.59905,-1.0105358,0.01872899
160.67808,-0.34817529,0.01873406
136.00283,-0.087829286,0.01873587
178.22274,-1.4492726,0.0187608
159.79914,-0.40949106,0.01876407
171.47207,-0.66385753,0.01877641
160.47247,0.7931804,0.01879655
164.01094,0.66203725,0.01879848
197.38802,1.6730705,0.0188074
159.89377,-0.25304655,0.01881749
136.73745,-0.12355014,0.01883099
137.17432,0.48470355,0.01883815
161.4566,2.0897882,0.01884167
157.22922,-0.91500847,0.01884725
170.88022,-1.2610625,0.01887096
159.82604,-0.22910748,0.01888033
170.94494,-1.0416153,0.0188818
181.12616,1.6840161,0.0188877
142.95123,-0.40832518,0.0188967
161.16652,2.2591798,0.01889847
232.54623,-1.3787516,0.01893782
159.00865,0.98903904,0.01894327
161.44238,1.9973484,0.01894578
167.49393,0.18128136,0.01895006
180.9068,2.0469335,0.01895946
181.28529,2.3457608,0.01896155
180.96637,1.836099,0.01896889
164.88282,-0.041665683,0.01899364
197.99181,1.9574831,0.01900455
184.53566,-1.0641188,0.01902536
161.3426,1.9854865,0.01903257
160.87882,-0.58410656,0.0190457
136.33632,-0.036984167,0.0190497
159.85156,2.4442344,0.01905684
198.00808,0.59241297,0.0190604
197.2306,-0.80160047,0.01906901
159.60626,-0.017837271,0.01908475
181.22199,1.9422906,0.01909942
177.15742,0.024659832,0.01914357
199.54195,-1.2436469,0.0191508
182.79524,1.4417129,0.01915207
180.63631,1.7488072,0.01916193
181.05452,1.9002031,0.01917693
177.89814,-0.37486135,0.01918082
169.73164,0.089849556,0.01923702
179.1898,-1.2933407,0.01925692
181.22585,1.8213177,0.01926567
178.8777,-1.2614167,0.01927742
177.71326,-0.40764038,0.0192832
196.83041,2.0010914,0.01931109
199.29213,2.0677052,0.01932724
180.93489,1.8359905,0.01933068
173.73797,-0.75406507,0.01934486
168.70597,0.9056289,0.01934646
135.47794,1.1719656,0.01935744
181.33401,1.7787429,0.01937183
182.36942,0.53330107,0.01937778
181.4197,1.5750691,0.01938336
170.94048,-1.1089421,0.01938985
180.89332,2.1789466,0.0193914
182.3047,1.8365679,0.01940075
198.05369,2.1209269,0.01940095
196.82883,2.003485,0.01940175
135.21266,1.1610896,0.01941025
182.41088,0.9570506,0.0194103
160.99335,1.9358278,0.0194274
147.37478,-0.85898878,0.01946783
181.23294,1.9008738,0.01949516
181.6316,1.61663,0.01950274
173.22254,0.56798585,0.01951134
174.25698,-0.51195405,0.01951809
181.49885,1.885701,0.01952438
173.05609,0.81927396,0.01953857
170.94135,-1.1125241,0.01954002
165.8135,-0.17469241,0.01954051
173.90552,0.13081853,0.01954467
181.19151,1.8039738,0.0195606
197.95618,2.1111141,0.01957535
175.02673,-0.83770744,0.01959906
180.46194,-0.65542874,0.01960378
142.35668,0.35542838,0.01961766
174.87368,0.11655259,0.01963082
166.13328,-0.73049887,0.01966155
182.01652,0.69759319,0.01966596
180.52255,1.5258814,0.01967798
182.47445,0.9285522,0.01967806
181.88322,1.6373596,0.01971031
181.11277,1.8959957,0.01971865
172.86789,0.49460792,0.01973852
178.14106,2.0269565,0.01975345
173.09131,0.80232231,0.01975683
182.79515,2.2555426,0.01976812
182.01594,0.69633575,0.01977499
177.65142,-1.4095944,0.01977592
172.39441,1.0680427,0.01977613
171.67423,1.2414818,0.01977853
197.39323,1.6236906,0.01981813
180.88662,1.8028253,0.01983654
182.76409,0.62408475,0.01985827
177.25793,-1.1026066,0.0198656
175.2073,1.7588755,0.01988713
175.46223,2.3929765,0.01989757
172.24206,0.87899587,0.01992499
172.12866,0.78251379,0.01992587
146.0433,2.4103278,0.01994092
146.22588,2.4655103,0.01994256
173.09101,0.80474598,0.0199593
170.9608,1.7342966,0.01996479
181.12843,2.3433981,0.0199654
181.13412,2.4531247,0.01996723
182.6297,0.67279088,0.01996788
181.28791,1.8460191,0.01996931
181.32493,2.2895576,0.01997308
182.55139,0.75404218,0.01998166
181.1245,2.4485184,0.01999686
147.3056,0.2175774,0.0199993
181.14505,1.8423696,0.02001917
155.9192,-1.2347177,0.0200217
182.27832,0.47330678,0.02002256
180.873,1.2293346,0.02004178
146.8068,0.66563514,0.0200758
181.90866,1.5742042,0.02008497
146.84222,0.74084309,0.02013125
200.40028,0.57300615,0.02013292
180.936,1.6950809,0.020134
180.73939,2.1352834,0.02014273
183.0384,1.3115035,0.02014813
180.61963,2.2885565,0.02015072
147.19292,0.27191843,0.02016207
182.3557,0.30820401,0.0201692
182.64713,1.0287202,0.02017376
181.23743,1.5083449,0.02018397
175.94637,-0.84398558,0.02019962
148.04775,1.0954677,0.0202142
179.86353,-1.1551158,0.02021773
180.97758,2.1809792,0.02023061
200.23394,1.5036724,0.02023552
153.72225,-1.1528677,0.0202565
177.62804,1.9832936,0.02025704
146.53089,0.7819304,0.02025769
181.04626,2.3213655,0.02026974
181.17452,1.6027045,0.02029542
182.90434,0.32250413,0.02029996
180.64153,1.8610399,0.02032771
181.49776,2.49823,0.02034408
147.28652,2.4808198,0.02034665
182.86903,0.37863543,0.02035251
181.15304,1.8926832,0.02036213
200.37655,2.2276569,0.02036251
200.58118,2.4207454,0.02036856
181.1096,-0.63194427,0.02037231
184.25791,-1.4797728,0.02038462
177.34633,-1.0841486,0.02039753
182.76692,0.97227748,0.02040824
180.15303,2.1466513,0.02041742
178.18097,1.7407806,0.02042521
180.94629,-0.33659179,0.02043363
180.48184,-1.0693015,0.0204362
181.06938,1.5463005,0.02043952
183.53328,2.082619,0.02044575
178.18381,1.7458302,0.0204565
181.23914,1.635242,0.02045678
183.62177,0.83009005,0.02045906
183.19349,0.40911412,0.02046719
147.83541,0.89975941,0.02049324
151.38289,0.6110543,0.02049355
180.59174,-1.453292,0.0205009
181.41941,1.5934884,0.02050534
179.76725,-1.39388,0.02050668
148.44052,0.78675317,0.02051127
245.13881,-1.0956355,0.02051811
180.03409,-0.66343187,0.02052346
148.58456,2.2975632,0.02053517
180.86978,1.9764577,0.02054173
147.89586,1.1120728,0.02054176
180.24451,2.1037384,0.02054533
179.25998,0.49832992,0.02056275
195.06826,1.5576338,0.02056827
147.24772,2.4630088,0.02057438
182.78307,0.9568216,0.02059191
182.1302,1.9094333,0.02062398
147.89718,0.43473978,0.02063313
182.4045,0.53613816,0.02063395
153.46911,0.55096244,0.02064876
180.07504,0.29497975,0.02065824
180.27077,0.11376081,0.02066828
180.36631,-0.71840043,0.02067056
148.82384,-1.2450237,0.02067165
194.34334,2.3703204,0.020706
182.94458,0.98949174,0.02072263
192.24872,1.9882207,0.02075292
174.63863,-1.1845063,0.02075547
148.44366,0.49440186,0.02076184
148.33526,0.72067232,0.02078303
183.83398,-0.39802183,0.02078613
183.68935,0.74352956,0.02078847
180.9484,2.0171907,0.02079984
181.08334,1.5676392,0.02082211
180.92611,1.4573291,0.0208311
232.17069,1.377584,0.02084353
181.06214,1.8667173,0.02084372
180.36762,-0.89173423,0.02084633
183.86996,-0.49959136,0.02085222
154.82299,0.34444255,0.0208566
182.99772,1.3500224,0.02085871
180.32123,2.0882321,0.02086203
181.78158,-0.020109502,0.02087438
183.79883,-0.40008512,0.02087503
180.14316,-0.53138266,0.0208782
183.8946,1.2864287,0.02088534
181.52661,2.1921471,0.02088699
182.68471,0.62586397,0.02089253
181.40718,1.8282275,0.02090264
195.71712,0.40697508,0.02091426
151.45763,0.63335849,0.02091974
183.5165,-0.069644426,0.02094281
182.98979,1.4892232,0.02094655
148.97947,-0.19030594,0.02094694
148.43273,2.3740821,0.02095933
183.36183,-0.096700057,0.0209665
183.25125,0.043752428,0.02097693
148.32061,1.9779046,0.02097934
180.30512,2.0498943,0.02097955
180.20501,-1.2503385,0.02098372
183.96874,0.40074026,0.02104107
184.51435,-0.91307585,0.02104147
184.14763,-0.70975572,0.02104224
151.48054,0.65221026,0.02105822
181.07217,1.9174993,0.02107041
152.68095,-0.63778506,0.02110603
171.74202,2.3330277,0.0211218
154.3742,0.20062011,0.02112597
184.47821,-0.74473846,0.02113602
184.46685,-0.90739583,0.0211381
151.10907,0.60176802,0.0211566
183.12847,0.89419528,0.02115763
184.85001,-0.63818354,0.02115823
147.99892,1.0464703,0.02117685
202.77889,-1.2856069,0.02118691
151.53618,0.68837128,0.02119605
153.75967,0.96829155,0.02119927
165.9557,-0.21015519,0.02120981
152.14978,-0.67684586,0.02121134
155.57384,0.010334531,0.02122095
146.71421,-1.0413043,0.02122228
151.6547,0.63260972,0.02122282
151.54134,-0.66686966,0.02123116
181.85331,-0.15830013,0.02123231
202.45245,-0.29412545,0.02124054
151.4611,0.63180411,0.02125578
159.30949,-0.087436321,0.02126185
181.22755,1.2156037,0.0212666
152.13329,-0.66688733,0.02126984
202.45982,-1.4290395,0.02128015
184.89867,1.2166407,0.0212823
180.11082,1.6688111,0.02128574
181.1207,1.8941245,0.02129339
184.62744,0.013271128,0.02129653
181.28942,1.5593133,0.02129953
183.2913,1.1923326,0.02130958
166.31197,0.98915306,0.02132608
151.35034,0.54392803,0.02133142
150.54684,2.0216361,0.02133682
179.80368,-0.52380675,0.02133708
155.46497,0.41011418,0.02134296
202.43751,1.1829565,0.02135971
184.15296,-1.0823354,0.02136928
179.69264,-1.4658557,0.02137359
181.15232,2.047527,0.02137511
187.78098,0.46313575,0.02137726
183.99401,2.0395659,0.02138198
